Product,,,,,,,,,,,,,,,,,,,Gender,Time
shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,1,2018-12-14 18:49
burgers,meatballs,eggs,,,,,,,,,,,,,,,,,0,2018-07-06 20:48
chutney,,,,,,,,,,,,,,,,,,,1,2018-05-18 21:27
turkey,avocado,,,,,,,,,,,,,,,,,,0,2018-04-21 18:22
mineral water,milk,energy bar,whole wheat rice,green tea,,,,,,,,,,,,,,,1,2018-04-21 19:18
low fat yogurt,,,,,,,,,,,,,,,,,,,0,2018-04-21 20:00
whole wheat pasta,french fries,,,,,,,,,,,,,,,,,,1,2018-06-10 19:44
soup,light cream,shallot,,,,,,,,,,,,,,,,,0,2018-06-10 20:42
frozen vegetables,spaghetti,green tea,,,,,,,,,,,,,,,,,1,2018-05-01 22:08
french fries,,,,,,,,,,,,,,,,,,,0,2018-02-01 23:08
eggs,pet food,,,,,,,,,,,,,,,,,,1,2018-06-08 21:07
cookies,,,,,,,,,,,,,,,,,,,0,2018-05-04 16:02
turkey,burgers,mineral water,eggs,cooking oil,,,,,,,,,,,,,,,1,2018-05-04 20:45
spaghetti,champagne,cookies,,,,,,,,,,,,,,,,,0,2018-05-11 19:03
mineral water,salmon,,,,,,,,,,,,,,,,,,1,2018-02-04 16:38
mineral water,,,,,,,,,,,,,,,,,,,0,2018-01-07 16:36
shrimp,chocolate,chicken,honey,oil,cooking oil,low fat yogurt,,,,,,,,,,,,,1,2018-05-14 20:56
turkey,eggs,,,,,,,,,,,,,,,,,,0,2018-05-21 16:55
turkey,fresh tuna,tomatoes,spaghetti,mineral water,black tea,salmon,eggs,chicken,extra dark chocolate,,,,,,,,,,1,2018-05-21 17:41
meatballs,milk,honey,french fries,protein bar,,,,,,,,,,,,,,,0,2018-11-19 17:08
red wine,shrimp,pasta,pepper,eggs,chocolate,shampoo,,,,,,,,,,,,,1,2018-11-17 14:02
rice,sparkling water,,,,,,,,,,,,,,,,,,0,2018-05-27 20:06
spaghetti,mineral water,ham,body spray,pancakes,green tea,,,,,,,,,,,,,,1,2018-11-18 16:28
burgers,grated cheese,shrimp,pasta,avocado,honey,white wine,toothpaste,,,,,,,,,,,,0,2018-04-19 21:51
eggs,,,,,,,,,,,,,,,,,,,1,2018-06-21 14:55
parmesan cheese,spaghetti,soup,avocado,milk,fresh bread,,,,,,,,,,,,,,0,2018-05-10 22:17
ground beef,spaghetti,mineral water,milk,energy bar,black tea,salmon,frozen smoothie,escalope,,,,,,,,,,,1,2018-05-10 22:23
sparkling water,,,,,,,,,,,,,,,,,,,0,2018-05-17 14:44
mineral water,eggs,chicken,chocolate,french fries,,,,,,,,,,,,,,,1,2018-05-17 16:13
frozen vegetables,spaghetti,yams,mineral water,,,,,,,,,,,,,,,,0,2018-05-31 15:03
herb & pepper,tomato sauce,light cream,magazines,,,,,,,,,,,,,,,,1,2018-05-31 15:40
mineral water,chocolate,avocado,eggs,,,,,,,,,,,,,,,,0,2018-05-31 15:57
turkey,french fries,strawberries,,,,,,,,,,,,,,,,,1,2018-05-31 15:57
frozen vegetables,strong cheese,chocolate,,,,,,,,,,,,,,,,,0,2018-05-31 16:31
cookies,,,,,,,,,,,,,,,,,,,1,2018-02-05 17:13
pickles,spaghetti,salmon,escalope,,,,,,,,,,,,,,,,0,2018-06-12 16:42
energy bar,french fries,,,,,,,,,,,,,,,,,,1,2018-06-12 22:03
red wine,ground beef,mineral water,,,,,,,,,,,,,,,,,0,2018-04-04 15:36
mineral water,cake,cottage cheese,,,,,,,,,,,,,,,,,1,2018-04-11 19:43
pickles,champagne,green tea,,,,,,,,,,,,,,,,,0,2018-01-02 17:39
spaghetti,,,,,,,,,,,,,,,,,,,1,2018-07-11 17:17
fresh tuna,frozen vegetables,spaghetti,mineral water,honey,whole wheat rice,frozen smoothie,escalope,,,,,,,,,,,,0,2018-10-03 17:16
spaghetti,,,,,,,,,,,,,,,,,,,1,2018-05-25 19:52
soup,meatballs,hot dogs,sparkling water,,,,,,,,,,,,,,,,0,2018-05-28 17:20
escalope,,,,,,,,,,,,,,,,,,,1,2018-05-28 17:52
soup,avocado,french fries,hot dogs,brownies,body spray,pancakes,green tea,,,,,,,,,,,,0,2018-05-19 18:42
mineral water,chicken,cereals,clothes accessories,,,,,,,,,,,,,,,,1,2018-09-15 16:40
mineral water,bug spray,,,,,,,,,,,,,,,,,,0,2018-07-08 16:51
avocado,muffins,,,,,,,,,,,,,,,,,,1,2018-06-03 16:52
burgers,black tea,green tea,,,,,,,,,,,,,,,,,0,2018-06-03 20:30
spaghetti,chocolate,brownies,white wine,green tea,,,,,,,,,,,,,,,1,2018-05-27 17:43
fresh tuna,mineral water,eggs,,,,,,,,,,,,,,,,,0,2018-05-17 17:41
spaghetti,muffins,,,,,,,,,,,,,,,,,,1,2018-07-13 23:19
spaghetti,chocolate,,,,,,,,,,,,,,,,,,0,2018-11-09 20:21
french fries,escalope,champagne,,,,,,,,,,,,,,,,,1,2018-11-09 20:53
tomato sauce,light mayo,,,,,,,,,,,,,,,,,,0,2018-11-30 18:45
turkey,fresh tuna,frozen vegetables,tomatoes,ground beef,spaghetti,mineral water,chocolate,soup,milk,olive oil,,,,,,,,,1,2018-10-26 2:02
eggs,cookies,,,,,,,,,,,,,,,,,,0,2018-04-23 21:07
soup,chicken,gums,soda,body spray,energy drink,green tea,,,,,,,,,,,,,1,2018-08-13 15:44
turkey,frozen vegetables,mineral water,cider,cooking oil,green tea,,,,,,,,,,,,,,0,2018-05-07 16:46
spaghetti,,,,,,,,,,,,,,,,,,,1,2018-05-21 17:38
clothes accessories,,,,,,,,,,,,,,,,,,,0,2018-11-26 13:52
energy drink,,,,,,,,,,,,,,,,,,,1,2018-07-07 0:41
soup,bug spray,shallot,protein bar,green tea,,,,,,,,,,,,,,,0,2018-08-16 23:52
turkey,eggs,,,,,,,,,,,,,,,,,,1,2018-12-06 2:52
french fries,,,,,,,,,,,,,,,,,,,0,2018-06-07 18:39
chocolate,milk,,,,,,,,,,,,,,,,,,1,2018-05-17 15:42
herb & pepper,whole wheat pasta,ground beef,mineral water,avocado,cider,whole wheat rice,,,,,,,,,,,,,0,2018-11-01 20:03
cookies,,,,,,,,,,,,,,,,,,,1,2018-07-03 14:43
shrimp,pasta,,,,,,,,,,,,,,,,,,0,2018-07-17 2:20
grated cheese,herb & pepper,tomatoes,tomato sauce,corn,,,,,,,,,,,,,,,1,2018-07-24 16:17
burgers,escalope,shallot,,,,,,,,,,,,,,,,,0,2018-07-04 2:57
cookies,,,,,,,,,,,,,,,,,,,1,2018-07-04 14:32
yogurt cake,,,,,,,,,,,,,,,,,,,0,2018-07-04 23:49
soup,eggs,,,,,,,,,,,,,,,,,,1,2018-06-06 18:47
cookies,,,,,,,,,,,,,,,,,,,0,2018-06-13 16:34
mineral water,chocolate,low fat yogurt,,,,,,,,,,,,,,,,,1,2018-06-20 21:26
eggs,strawberries,,,,,,,,,,,,,,,,,,0,2018-06-27 15:56
grated cheese,ground beef,spaghetti,mineral water,white wine,,,,,,,,,,,,,,,1,2018-11-21 20:56
mint,,,,,,,,,,,,,,,,,,,0,2018-08-10 23:28
eggs,cake,french fries,,,,,,,,,,,,,,,,,1,2018-07-13 22:00
burgers,spaghetti,milk,french fries,green tea,,,,,,,,,,,,,,,0,2018-07-27 23:12
mineral water,energy bar,butter,french fries,,,,,,,,,,,,,,,,1,2018-11-16 0:58
burgers,grated cheese,herb & pepper,mineral water,eggs,cooking oil,,,,,,,,,,,,,,0,2018-11-16 0:59
energy bar,,,,,,,,,,,,,,,,,,,1,2018-10-26 23:12
energy bar,energy drink,,,,,,,,,,,,,,,,,,0,2018-09-14 23:03
chocolate,frozen smoothie,,,,,,,,,,,,,,,,,,1,2018-07-02 23:24
low fat yogurt,,,,,,,,,,,,,,,,,,,0,2018-07-09 23:14
asparagus,salad,,,,,,,,,,,,,,,,,,1,2018-07-16 23:36
burgers,french fries,low fat yogurt,green tea,,,,,,,,,,,,,,,,0,2018-11-05 23:39
low fat yogurt,,,,,,,,,,,,,,,,,,,1,2018-11-12 0:19
burgers,herb & pepper,shrimp,pasta,spaghetti,mineral water,meatballs,olive oil,energy bar,french wine,eggs,salt,,,,,,,,0,2018-11-12 23:42
champagne,low fat yogurt,,,,,,,,,,,,,,,,,,1,2018-08-11 22:17
champagne,,,,,,,,,,,,,,,,,,,0,2018-08-18 20:40
burgers,almonds,eggs,french fries,cookies,green tea,,,,,,,,,,,,,,1,2018-07-07 22:26
ham,soup,escalope,body spray,,,,,,,,,,,,,,,,0,2018-07-07 22:37
turkey,ham,frozen vegetables,pepper,oil,extra dark chocolate,tea,magazines,,,,,,,,,,,,1,2018-07-21 0:24
muffins,eggs,cookies,,,,,,,,,,,,,,,,,0,2018-07-21 23:02
cookies,,,,,,,,,,,,,,,,,,,1,2018-07-28 21:55
frozen vegetables,whole wheat pasta,ground beef,spaghetti,chocolate,green tea,,,,,,,,,,,,,,0,2018-06-09 17:06
mineral water,barbecue sauce,chocolate,,,,,,,,,,,,,,,,,1,2018-06-09 17:44
burgers,herb & pepper,energy bar,almonds,eggs,corn,mayonnaise,zucchini,,,,,,,,,,,,0,2018-06-30 22:19
turkey,burgers,ground beef,chocolate,soup,almonds,eggs,hot dogs,cottage cheese,,,,,,,,,,,1,2018-11-17 20:43
ham,spaghetti,chocolate,eggs,,,,,,,,,,,,,,,,0,2018-10-13 0:40
ground beef,energy bar,pet food,carrots,protein bar,,,,,,,,,,,,,,,1,2018-10-27 18:11
ground beef,tomato sauce,spaghetti,mineral water,almonds,eggs,,,,,,,,,,,,,,0,2018-09-15 23:15
mineral water,olive oil,gums,cooking oil,,,,,,,,,,,,,,,,1,2018-08-12 20:47
shrimp,pasta,mineral water,soup,avocado,milk,olive oil,green grapes,eggs,bug spray,,,,,,,,,,0,2018-07-01 0:15
shrimp,pasta,soup,cake,cooking oil,chicken,light mayo,low fat yogurt,,,,,,,,,,,,1,2018-07-01 0:59
